Country/area,GDP per capita (current US$),Cummulative emissions per capita (t),Climate vulnability
Togo,942.65,8.05,30.12
Tonga,0.00,44.81,10.67
Trinidad and Tobago,19629.47,1069.44,18.08
Tunisia,3747.42,80.66,31.15
Turkiye,10674.50,138.70,29.38
Turkmenistan,8792.55,391.41,10.48
Tuvalu,5221.53,26.63,13.53
Uganda,964.40,2.51,34.19
Ukraine,4533.98,814.78,33.63
United Arab Emirates,53707.98,579.37,6.56
UK,46125.26,1177.14,12.43
U.S.,76329.58,1280.92,12.75
Uruguay,20795.04,113.29,14.96
Uzbekistan,2255.15,181.87,12.83
Vanuatu,3231.35,16.01,20.49
"Venezuela, RB",0.00,270.05,28.22
Viet Nam,4163.51,51.16,22.25
"Yemen, Rep.",650.27,20.40,65.24
Zambia,1456.90,13.41,30.78
Zimbabwe,1676.82,48.94,31.73
