category,Household Storage & Preparation,Processing Industry,Wholesale and Retail,Agricultural Production,Food Services,Packaging Material,Transportation,Food Energy Available that is Consumed,Food Energy Available
Food Energy Consumed (14.2 Quads),3.956852792,2.680565627,2.215736041,2.046047861,1.807831762,0.903190718,0.549673677,,
Food Energy Available (1.75 Quads),,,,,,,,1.07,0.68
